Store,Dept,residual_std
11,9,317.6710301497187
11,10,309.72401089302093
11,11,425.8227546981456
11,12,149.4322295145764
11,13,603.1843386383769
11,14,451.68178290728423
11,16,395.1274181191955
11,17,288.6497356917745
11,18,517.3677311733484
11,19,117.2070051352052
11,20,256.25238731251557
11,21,152.76398595041346
11,22,375.4982618751505
11,23,569.790104051677
11,24,322.41654068280343
11,25,372.07833513878
11,26,333.5004038006789
11,27,110.6970240267894
11,28,88.57181967328775
11,29,239.70052547697594
11,30,134.68574227339042
11,31,216.99629584091912
11,32,338.6079490252837
11,33,290.8643002380087
11,34,573.7294834875637
11,35,176.01818518353474
11,36,298.02944599414644
11,37,118.78333731473174
11,38,1422.1262415835
11,40,633.0050466368986
11,41,186.56782682652002
11,42,100.62822293457496
11,44,129.98561546259853
11,45,17.773833195255694
11,46,403.07167643855354
11,47,59.708856735356534
11,49,287.2879710917228
11,52,146.04327913971446
11,54,49.979359559602806
11,55,347.79435679230534
11,56,246.8414010164073
11,58,452.11676999136887
11,59,118.43989163323685
11,60,66.82300399071883
11,67,455.10938129954314
11,71,226.04282344596692
11,72,1812.3285988050127
11,74,476.0801481486026
11,79,992.8345352422531
11,80,165.68641065424146
11,81,168.00839028063422
11,82,534.9534083427328
11,83,189.83465245077255
11,85,150.48625036654084
11,87,444.5470909897301
11,90,612.3090369085131
11,91,607.8952694498508
11,92,1076.4914801005623
11,93,741.133418814754
11,94,727.6131870711843
11,95,956.0670413491398
11,96,327.1928663357517
11,97,340.0493642094488
11,98,211.0681861951711
11,99,278.05333223150416
12,1,1411.6903162976716
12,2,1901.4628954781554
12,3,1275.1905841132766
12,4,684.2382826693633
12,5,1047.7384582158604
12,6,694.6671163388471
12,7,1298.9531033842122
12,8,672.6321341768521
12,9,727.5491424038959
12,10,529.8327610395196
12,11,807.2829003534835
12,12,295.624968812509
12,13,802.8235434076669
12,14,706.3318059117556
12,16,623.0496904172657
12,17,647.0357707792224
12,18,1040.836921235925
12,19,280.8934662017257
12,20,571.6009747606562
12,21,282.99907840105925
12,22,605.6130212966424
12,23,1050.3531792393178
12,24,809.6632011066166
12,25,586.1472777105837
12,26,693.9418708627863
12,27,208.65532363419166
12,28,83.50152935626834
12,29,588.0630235748788
12,30,437.1551153155797
12,31,437.6549056418154
12,32,954.6732678724826
12,33,831.2751376073477
12,34,1034.8844388213781
12,35,276.8242028244112
12,36,512.427095886451
12,38,2591.587657010684
12,40,828.9762901426925
12,41,194.86655473225179
12,42,309.45639589780603
12,44,406.7141694151497
12,45,52.7791252753891
12,46,923.1040996697457
12,47,589.8000682382534
12,49,31.953040765491902
12,52,259.3874996077105
12,54,32.38692266186408
12,55,642.2007323279861
12,56,314.2714698060215
12,58,1006.7473220370993
12,59,138.935396161352
12,60,72.78745074288543
12,67,896.005281941009
12,71,875.0040447910268
12,72,3143.34356852668
12,74,644.3993324518923
12,78,0.0
12,79,907.8691827881298
12,80,47.7277043520352
12,81,202.40306499043928
12,82,485.47029779871855
12,83,56.56767873955121
12,85,230.99782681671405
